Timestamp	Coder	id	Title	Level of disruption, Business damaging	Level of disruption, Government or authority	Level of disruption, Public everyday	Level of disruption, Culture or sport	Activity being deliberately disrupted	Clarity, Number of Protesters	Number of protesters	Nature of disruption	Demand	Issue bundling	Issue	Portrayal	Comments - flag anything you found difficult to code	Clarity, level of disruption
10/28/2025 9:25:01	Ró	BBC_2020-09-04_Extinction-Rebellion-More_original.html	Extinction Rebellion: More than 300 arrested at London climate protests	None at all	None at all	A moderate amount	None at all	"Traffic. The article describes that Lambeth Bridge has ""since reopened to traffic"". Furthermore, the article describes a slaughterhouse truck that was parked sideways across Victoria Street. The article also describes that protesters also glued themselves and staged sit-ins around the Parliament, but does not describe the level of disruption that this caused."	Enough information to inform a fairly confident judgement	301-1000	Blockade, Protesters physically attached to or on top of something	"< Extinction Rebellion said it wants the government to declare a climate and ecological emergency, reduce greenhouse gas emissions to net zero by 2025 and establish a ""citizens' assembly on climate and ecological justice"". >"	Other issues, slightly beyond environment	"The image of the slaughterhouse truck links animal farming to ""Pandemics & Climate Crisis"""	Neutral (e.g. simply reporting on the disruption, protesters, or message)	"The level of disruption was a bit difficult to code, as it is not described that deeply; only that ""traffic has since reopened""."	
10/28/2025 9:40:08	Ró	BBC_2021-06-01_Hamble-BP-oil_summary.html	Hamble BP oil terminal entrance blocked by protesters	A moderate amount	None at all	None at all	None at all	Activists blocked the entrance to BP oil terminal; laid across the entrance; locked arms inside oil barrels; blocked road tanker traffic in and out of the Hamble terminal that supplied fuel to service stations across the south of England.	A small amount of information that informs a very rough judgement	11-30	Blockade	"< James Hill, from Extinction Rebellion, said: ""The government continues to announce paper targets to reduce emissions but it is still business as usual for fossil fuel companies. This is incompatible with the urgent need for a rapid transition away from fossil fuels to limit global heating to 1.5 degrees."" > < Mr Hill called ""on the government to stop the greenwash"" and ""end the subsidies to the fossil fuel industry and accelerate the transition to renewables"". >"	No other issues (skip next question)		Neutral (e.g. simply reporting on the disruption, protesters, or message)	I found it a bit difficult to code the amount of activists present, as the only information about this is from the pictures in the article.	
10/28/2025 9:46:32	Ró	BBC_2021-06-16_Euro-2020-_original.html	Euro 2020 - France 1-0 Germany: Several in hospital after parachute protest	None at all	None at all	None at all	A lot	Activist parachuted into the Allianz Arena during a football match between France and Germany; debris fell into the pitch and stands; the man landed on the pitch; two persons were injured.	Clear information that informs a full judgement	1	Temporary physical alterations (e.g. washable blood) or vandalism (costly or permanent damage), Interrupting an event or speech	"< He had the words ""Kick out oil Greenpeace"" written on his parachute >< Greenpeace campaigner Benjamin Stephan said the plan was to ""fly over"" the stadium and release a light ball with a message encouraging German car manufacturer Volkswagen ""to do more to protect the climate"". >"	No other issues (skip next question)		Neutral (e.g. simply reporting on the disruption, protesters, or message)		
10/28/2025 9:55:45	Ró	BBC_2023-01-16_Climate-hactivists-subvert_original.html	Climate hactivists subvert Bristol Billboards with spoof ads	A lot	None at all	None at all	None at all	Activists hacked billboards in a protest against car adverts. Adverts were replaced with spoof adverts that targeted car companies.	Clear information that informs a full judgement	11-30	Temporary physical alterations (e.g. washable blood) or vandalism (costly or permanent damage)	< The Brandalism group claimed the hacking and local activists are calling for Bristol City Council to cut air pollution by restricting car adverts. > 	Other issues, slightly beyond environment	The objectification of women in car adverts	Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts)	I found it a bit difficult to code the amount of activists present, as the article states that there were 11 activists present at the local level, but that the protest is part of a larger network.	
10/28/2025 10:03:58	Ró	The-Guardian_2020-09-01_Police-arrest-dozens_summary.html	Police arrest dozens of Extinction Rebellion protesters in London	None at all	None at all	A little	None at all	Blocked roads and blocked traffic	Enough information to inform a fairly confident judgement	More than 1000	Blockade	"< as the group kicked off 10 days of civil disobedience to demand government action on the climate crisis. > < demanding MPs back what they have described as the ""climate and ecological emergency bill"". > "	No other issues (skip next question)		Neutral (e.g. simply reporting on the disruption, protesters, or message)		
10/28/2025 10:11:24	Ró	BBC_2021-09-24_Extinction-Rebellion-Paralympian_summary.html	Extinction Rebellion: Paralympian James Brown jailed for plane glue stunt	A lot	None at all	A lot	None at all	Activist glued himself on the roof of a British Airways plane as well as physically preventing the doors from closing, thus disrupting the scheduled plane.	Enough information to inform a fairly confident judgement	11-30	Protesters physically attached to or on top of something	"< Brown, who represented himself at trial, denied one count of causing a public nuisance, claiming he had ""to do something spectacular"" to draw attention to the climate crisis. > Otherwise, no concrete and identifiable demands."	No other issues (skip next question)		Somewhat hostile (e.g. quoting only negative reactions)		
10/28/2025 10:18:07	Ró	The-Guardian_2023-01-19_Spoof-billboard-ads_summary.html	Spoof billboard ads take aim at BMW and Toyota over ‘going green’ claims	A moderate amount	None at all	None at all	None at all	Activists put up spoof adverts targeting BMW and Toyota with the aim to expose the companies greenwashing. More than 400 advertising billboards and bus stops in Belgium, France, Germany and England.	No information that informs any judgement (skip next question)		Temporary physical alterations (e.g. washable blood) or vandalism (costly or permanent damage)	"< Tona Merriman, a spokesperson for Brandalism, said: ""Toyota have pushed their 'Beyond Zero' sustainability adverts whilst lobbying governments around the world to weaken air quality plans and threatening legal action to protect their profits over a livable climate. Their adverts are duplicitous.""  Brandalism said the pan-European subvertising actions were a call for greater government regulation of ""environmentally harmful products"" to prevent polluters making ""misleading green claims."" >"	No other issues (skip next question)		Neutral (e.g. simply reporting on the disruption, protesters, or message)		
10/28/2025 10:27:02	Ró	Sun_2022-11-07_LOVEDUP-Just-Stop_summary.html	LOVED-UP Just Stop Oil ‘mastermind’ Roger Hallam pledged to ‘organise the coming revolution’ with lover half his age	None at all	None at all	A moderate amount	None at all	"Activists glued and locked themselves on and to the M25. Otherwise, the article describes plans for the ""biggest demonstration in British history""."	No information that informs any judgement (skip next question)		Blockade, Protesters physically attached to or on top of something	No identifiable demand	No other issues (skip next question)		"Very hostile (e.g. calling protesters names like ""eco-zealots"")"		
10/28/2025 10:33:02	Ró	BBC_2021-09-27_Insulate-Britain-M25_summary.html	Insulate Britain: M25 targeted near Heathrow as activists stage protest	None at all	None at all	A moderate amount	None at all	Activists blocked part of the M25 at Heathrow Airport.	A small amount of information that informs a very rough judgement	31-100	Blockade	< The group, an offshoot of Extinction Rebellion, is calling for the government to insulate homes in the UK to help cut carbon emissions. They want heat-saving measures installed in social housing by 2025 and all homes by 2030. >	No other issues (skip next question)		Neutral (e.g. simply reporting on the disruption, protesters, or message)		
10/28/2025 10:39:35	Ró	The-Times_2021-09-25_Chaos-This-is_summary.html	Chaos? This is nothing, warns Cambridge graduate who brought M25 to standstill	None at all	None at all	A great deal	None at all	Blocking the M25. The article describes that the protest caused significant gridlock, risked fatal accidents and cost workers millions in lost earnings. Also, the article describes on report that states that a woman became paralysed due to delays in reaching the hospital after a stroke.	No information that informs any judgement (skip next question)		Blockade	No identifiable demand	No other issues (skip next question)		Somewhat hostile (e.g. quoting only negative reactions)		
