"id","issueBundling.Asger","issueBundling.Ro","levelOfDisruption.BusinessDamaging.Asger","levelOfDisruption.BusinessDamaging.Ro","levelOfDisruption.CultureOrSport.Asger","levelOfDisruption.CultureOrSport.Ro","levelOfDisruption.GovernmentOrAuthority.Asger","levelOfDisruption.GovernmentOrAuthority.Ro","levelOfDisruption.PublicEveryday.Asger","levelOfDisruption.PublicEveryday.Ro","nature.AlteratVandal.Asger","nature.AlteratVandal.Ro","nature.Attached.Asger","nature.Attached.Ro","nature.Blockade.Asger","nature.Blockade.Ro","nature.Interrupting.Asger","nature.Interrupting.Ro","numberOfProtesters.Asger","numberOfProtesters.Ro","portrayal.Asger","portrayal.Ro"
"BBC_2020-09-04_Extinction-Rebellion-More_original.html",3,2,1,1,1,1,3,1,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,7,7,3,3
"BBC_2021-06-01_Hamble-BP-oil_summary.html",1,1,2,3,1,1,1,1,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,4,3,3
"BBC_2021-06-16_Euro-2020-_original.html",1,1,1,1,4,4,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,3,3
"BBC_2021-07-16_Extinction-Rebellion-protesters_original.html",1,1,5,5,1,1,1,1,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,5,3,2
"BBC_2021-09-24_Extinction-Rebellion-Paralympian_summary.html",1,1,3,4,1,1,1,1,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,4,2,2
"BBC_2021-09-27_Insulate-Britain-M25_summary.html",1,1,1,1,1,1,3,1,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,5,3,3
"BBC_2022-04-30_Just-Stop-Oil_original.html",1,1,4,4,1,1,1,1,2,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,5,3,3
"BBC_2022-05-16_Greenpeace-activists-in_summary.html",2,2,3,5,1,1,1,4,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,4,3,3
"BBC_2023-01-16_Climate-hactivists-subvert_original.html",1,2,3,4,1,1,1,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4
"Daily-Mail_2021-07-16_Six-Extinction-Rebellion_summary.html",1,1,4,4,1,2,1,1,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5,5,3,3
"Daily-Mail_2022-10-04_EXCLUSIVE-I-was_summary.html",1,1,1,1,1,1,1,1,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,6,3,3
"Metro_2021-04-23_Extinction-Rebellion-protesters_summary.html",1,1,4,4,1,1,1,1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,NA,4,3
"Metro_2022-07-05_Gary-Lineker-and_summary.html",1,1,3,2,3,3,1,1,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,3,NA,3
"Sky_2021-09-13_M25-traffic-78_summary.html",1,1,1,1,1,1,1,1,3,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,6,3,2
"Sky_2022-10-17_Dartford-Crossings-QE2_summary.html",1,1,1,1,1,1,1,1,4,5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,2,3,3
"Sky_2023-04-17_Just-Stop-Oil_summary.html",1,1,1,1,3,4,1,1,2,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,2,3,2
"Sun_2021-09-13_ROAD-TO-HELL_summary.html",1,1,1,1,1,1,1,1,3,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,6,3,2
"Telegraph_2021-02-13_I-wont-rest_summary.html",1,1,1,5,1,1,1,4,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,3,4,4
"Telegraph_2022-10-16_Just-Stop-Oil_summary.html",1,1,3,4,1,1,1,1,3,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,7,7,3,4
"The-Guardian_2020-09-01_Police-arrest-dozens_summary.html",1,1,1,1,1,1,3,1,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,8,4,3
"The-Guardian_2021-09-27_Climate-activists-block_summary.html",1,1,1,1,1,1,1,1,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5,5,2,3
"The-Guardian_2023-01-19_Spoof-billboard-ads_summary.html",1,1,3,3,1,1,1,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,NA,4,3
"The-Guardian_2023-01-31_Greenpeace-protesters-board_summary.html",1,1,3,4,1,1,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,4,3
"The-Times_2021-08-23_Officers-mobilised-as_summary.html",1,1,1,1,1,1,1,1,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,8,7,4,3
