"id","numberOfProtesters","levelOfDisruption,BusinessDamaging","levelOfDisruption,PublicEveryday","levelOfDisruption,GovernmentOrAuthority","levelOfDisruption,CultureOrSport","issueBundling","nature,Blockade","nature,Attached","nature,AlteratVandal","nature,Interrupting","portrayal"
"BBC_2020-09-04_Extinction-Rebellion-More_original.html",7,1,3,1,1,2,TRUE,TRUE,FALSE,FALSE,3
"BBC_2021-06-01_Hamble-BP-oil_summary.html",4,3,1,1,1,1,TRUE,FALSE,FALSE,FALSE,3
"BBC_2021-06-16_Euro-2020-_original.html",1,1,1,1,4,1,FALSE,FALSE,TRUE,TRUE,3
"BBC_2023-01-16_Climate-hactivists-subvert_original.html",4,4,1,1,1,2,FALSE,FALSE,TRUE,FALSE,4
"The-Guardian_2020-09-01_Police-arrest-dozens_summary.html",8,1,2,1,1,1,TRUE,FALSE,FALSE,FALSE,3
"BBC_2021-09-24_Extinction-Rebellion-Paralympian_summary.html",4,4,4,1,1,1,FALSE,TRUE,FALSE,FALSE,2
"The-Guardian_2023-01-19_Spoof-billboard-ads_summary.html",NA,3,1,1,1,1,FALSE,FALSE,TRUE,FALSE,3
"Sun_2022-11-07_LOVEDUP-Just-Stop_summary.html",NA,1,3,1,1,1,TRUE,TRUE,FALSE,FALSE,NA
"BBC_2021-09-27_Insulate-Britain-M25_summary.html",5,1,3,1,1,1,TRUE,FALSE,FALSE,FALSE,3
"The-Times_2021-09-25_Chaos-This-is_summary.html",NA,1,5,1,1,1,TRUE,FALSE,FALSE,FALSE,2
"Metro_2021-04-23_Extinction-Rebellion-protesters_summary.html",NA,4,1,1,1,1,FALSE,FALSE,TRUE,FALSE,3
"Sky_2021-09-13_M25-traffic-78_summary.html",6,1,5,1,1,1,TRUE,FALSE,FALSE,FALSE,2
"Metro_2022-07-05_Gary-Lineker-and_summary.html",3,2,2,1,3,1,FALSE,FALSE,FALSE,TRUE,3
"Telegraph_2021-02-13_I-wont-rest_summary.html",3,5,1,4,1,1,TRUE,FALSE,FALSE,FALSE,4
"Sun_2021-09-13_ROAD-TO-HELL_summary.html",6,1,5,1,1,1,TRUE,FALSE,FALSE,FALSE,2
"The-Guardian_2023-01-31_Greenpeace-protesters-board_summary.html",3,4,1,2,1,1,TRUE,FALSE,FALSE,FALSE,3
"BBC_2022-05-16_Greenpeace-activists-in_summary.html",4,5,1,4,1,2,TRUE,FALSE,FALSE,FALSE,3
"BBC_2021-07-16_Extinction-Rebellion-protesters_original.html",5,5,1,1,1,1,TRUE,TRUE,FALSE,FALSE,2
"Sky_2022-10-17_Dartford-Crossings-QE2_summary.html",2,1,5,1,1,1,TRUE,TRUE,FALSE,FALSE,3
"Daily-Mail_2022-10-04_EXCLUSIVE-I-was_summary.html",6,1,4,1,1,1,TRUE,FALSE,FALSE,FALSE,3
"BBC_2021-11-14_Cop26-Why-were_summary.html",8,1,3,2,2,1,TRUE,TRUE,FALSE,FALSE,4
"Sky_2023-04-17_Just-Stop-Oil_summary.html",2,1,3,1,4,1,FALSE,FALSE,TRUE,TRUE,2
"Daily-Mail_2021-07-16_Six-Extinction-Rebellion_summary.html",5,4,4,1,2,1,TRUE,TRUE,FALSE,FALSE,3
"The-Times_2021-08-23_Officers-mobilised-as_summary.html",7,1,2,1,1,1,TRUE,TRUE,FALSE,FALSE,3
"Telegraph_2022-10-16_Just-Stop-Oil_summary.html",7,4,2,1,1,1,TRUE,TRUE,TRUE,FALSE,4
"The-Guardian_2021-09-27_Climate-activists-block_summary.html",5,1,4,1,1,1,TRUE,TRUE,FALSE,FALSE,3
"BBC_2022-04-30_Just-Stop-Oil_original.html",5,4,2,1,1,1,TRUE,TRUE,TRUE,FALSE,3
