"characteristic","block","fdr_sign_ATE0.15","fdr_sign_ATE0.2","fdr_sign_ATE0.3","fdr_sign_ATE0.4","fdr_sign_CL_ATE0.15","fdr_sign_CL_ATE0.2","fdr_sign_CL_ATE0.3","fdr_sign_CL_ATE0.4"
"issueBundling","1.000","0.724","0.899","0.981","1.000","0.869","0.956","1.000","1.000"
"levelOfDisruption.BusinessDamaging","1.000","0.492","0.674","0.824","0.956","0.492","0.678","0.811","0.944"
"levelOfDisruption.CultureOrSport","1.000","0.215","0.411","0.876","0.988","0.327","0.496","0.913","0.988"
"levelOfDisruption.GovernmentOrAuthority","1.000","0.657","0.910","0.996","1.000","0.747","0.910","0.979","1.000"
"levelOfDisruption.PublicEveryday","1.000","0.481","0.686","0.933","1.000","0.500","0.700","0.948","1.000"
"nature.AlteratVandal","1.000","0.849","0.981","1.000","1.000","0.892","0.996","1.000","1.000"
"nature.Attached","1.000","0.992","1.000","1.000","1.000","0.996","1.000","1.000","1.000"
"nature.Blockade","1.000","0.957","1.000","1.000","1.000","0.988","1.000","1.000","1.000"
"nature.Interrupting","1.000","0.942","0.996","1.000","1.000","0.924","0.977","1.000","1.000"
"numberOfProtesters","1.000","0.584","0.789","0.963","1.000","0.673","0.845","0.989","1.000"
"general_disruption_words_pics","2.000","0.927","0.988","1.000","1.000","0.956","0.996","1.000","1.000"
"negative_comments_words_pics","2.000","0.873","0.933","1.000","1.000","0.908","0.955","1.000","1.000"
"portrayal","2.000","0.874","0.966","1.000","1.000","0.893","0.958","1.000","1.000"
"protester_messaging_words_pics","2.000","0.996","1.000","1.000","1.000","1.000","1.000","1.000","1.000"
"disruption","3.000","0.619","0.772","0.926","0.993","0.675","0.783","0.949","0.996"
"ordinary","3.000","0.964","1.000","1.000","1.000","0.964","1.000","1.000","1.000"
"acceptance","4.000","0.919","0.996","1.000","1.000","0.949","1.000","1.000","1.000"
