"characteristic","block","0.15","0.2","0.3","0.4"
"demogr.Student",1,0.597,0.806,0.985,1
"issueBundling",1,0.748,0.91,1,1
"levelOfDisruption.BusinessDamaging",1,0.443,0.59,0.793,0.95
"levelOfDisruption.BusinessNon.damaging",1,0.587,0.805,0.943,1
"levelOfDisruption.CultureOrSport",1,0.389,0.673,0.918,0.985
"levelOfDisruption.GovernmentOrAuthority",1,0.812,0.927,0.984,1
"levelOfDisruption.PublicEveryday",1,0.601,0.783,0.943,0.985
"nature.AlteratVandal",1,0.942,1,1,1
"nature.Attached",1,1,1,1,1
"nature.Blockade",1,0.976,1,1,1
"nature.Interrupting",1,0.949,0.989,1,1
"numberOfProtesters",1,0.713,0.827,0.967,1
"general_disruption_words_pics",2,0.987,1,1,1
"negative_comments_words_pics",2,0.777,0.866,1,1
"portrayal",2,0.908,0.975,1,1
"protester_messaging_words_pics",2,1,1,1,1
"disruption",3,0.725,0.83,0.912,1
"ordinary",3,1,1,1,1
"acceptance",4,0.996,1,1,1
