Timestamp	Coder	id	Title	Level of disruption, Business damaging	Level of disruption, Business non-damaging	Level of disruption, Individual responsible	Level of disruption, Government or authority	Level of disruption, Public everyday	Level of disruption, Public damaging	Level of disruption, Caring	Level of disruption, Culture or sport	Activity being deliberately disrupted	Clarity, Number of Protesters	Number of protesters	Nature of disruption	Demographics	Demand	Location	Clarity, Visual appearance	Visual appearance costumes
4/30/2025 13:52:06	Asger	BBC_2020-09-04_Extinction-Rebellion-More_original.html	Extinction Rebellion: More than 300 arrested at London climate protests	None at all	None at all	None at all	A moderate amount	A lot	A lot	None at all	None at all	In the article protesters from XR blocked the traffic on Lambeth Bridge near the Houses of Parliament, where they locked themselves to the bridge. It is then further described how Animal Rebellion disrupted the road on Victoria Street by blocking it with a slaughterhouse truck painted pink, placed across. Some protesters (not explicitly connected to an organisation) also glued themselves to the ground around the Parliament, but it is not explicit whether it is on a road or on a pavement for example.	Enough information to inform a fairly confident judgement	301-1000	Blockade, Protesters physically attached to or on top of something	None of the above	XR demand that business as usual should stop and Animal Rebellion demand the reduction of animal farming	UK	Enough information to inform a fairly confident judgement	None of them
4/30/2025 14:13:37	Asger	BBC_2021-06-01_Hamble-BP-oil_summary.html	Hamble BP oil terminal entrance blocked by protesters	A little	None at all	None at all	None at all	A little	A little	None at all	None at all	A group of around 8 persons are blocking the tanker traffic in and out of the BP depot in Hamble. Two persons have locked their arms in oil barrels, and others are laying on the ground dressed up as cleaning persons. Finally a few stand with a banner and some color smoke.	A moderate amount of information that informs a reasonable judgement	4-10	Blockade, Protesters physically attached to or on top of something, Breaching a legal injunction	None of the above	<end the subsidies to the fossil fuel industry and accelerate the transition to renewables>	UK	Clear information that informs a full judgement	A small proportion of them
4/30/2025 14:27:28	Asger	BBC_2021-06-16_Euro-2020-_original.html	Euro 2020 - France 1-0 Germany: Several in hospital after parachute protest	None at all	None at all	None at all	None at all	A little	A little	None at all	A lot	A parachuter representing Greenpeace disrupts a international football match between Germany and France. He was meant to "fly over" the stadium to throw a symbolic statement in the form of a light ball wuth a message, but ends up craching in some wires at the stadium, and undeliberately hurts "several people" in the protest.	Clear information that informs a full judgement	1	Interrupting an event or speech	None of the above	<Volkswagen "to do more to protect the climate">	non-UK	No information that informs any judgement (skip next question)	
4/30/2025 14:38:36	Asger	BBC_2021-07-16_Extinction-Rebellion-protesters_original.html	Extinction Rebellion protesters guilty of obstructing highway	A great deal	None at all	None at all	None at all	A little	A little	None at all	None at all	Protesters blocked a highway by mounting a tall bamboo structure, causing millions of newspapers from a printing plant to be blocked from being distributed.	Enough information to inform a fairly confident judgement	4-10	Blockade, Protesters physically attached to or on top of something	None of the above	No identifiable demand	UK	No information that informs any judgement (skip next question)	
4/30/2025 14:52:48	Asger	BBC_2021-08-23_Extinction-Rebellion-erects_summary.html	Extinction Rebellion erects table in Covent Garden	None at all	None at all	None at all	None at all	A moderate amount	None at all	None at all	None at all	A huge table has been placed in Covent Garden with a demonstration surrounding the center piece table. The protest is blocking cars.	A small amount of information that informs a very rough judgement	301-1000	Blockade, Protesters physically attached to or on top of something	None of the above	<government stops using fossil fuels>	UK	No information that informs any judgement (skip next question)	
4/30/2025 15:03:13	Asger	BBC_2021-09-24_Extinction-Rebellion-Paralympian_summary.html	Extinction Rebellion: Paralympian James Brown jailed for plane glue stunt	A moderate amount	None at all	None at all	None at all	None at all	A little	None at all	None at all	An visually impaired man glues his hand and attaches it to the roof of an British Airways plane, while wedging his phone in the door to prevent it from closing. 300 passengers were disrupted as well as British Airways losing 40.000 Pounds.	Clear information that informs a full judgement	1	Protesters physically attached to or on top of something	None of the above	<draw attention to the climate crisis>	UK	No information that informs any judgement (skip next question)	
4/30/2025 15:08:37	Asger	BBC_2021-09-27_Insulate-Britain-M25_summary.html	Insulate Britain: M25 targeted near Heathrow as activists stage protest	None at all	None at all	None at all	A moderate amount	A moderate amount	None at all	None at all	None at all	A total of 53 Insulate London blocked a conjunction near the M25, and doing this they defied an court injuction. 	Clear information that informs a full judgement	31-100	Blockade, Breaching a legal injunction	None of the above	<The group, an offshoot of Extincition Rebellion, is calling for the government to insulate homes in the UK to help cut carbon emissions.>	UK	No information that informs any judgement (skip next question)	
4/30/2025 15:13:34	Asger	BBC_2021-10-28_COP26-protesters-planning_summary.html	COP26 protesters planning high-impact disruption	None at all	None at all	None at all	A great deal	A moderate amount	None at all	None at all	A great deal	Extinction Rebellion plans to facilitates widespread "deliberative disruption" protests during the upcoming COP26 summit in Glasgow. The best estimate of attendance is a significant 100,000 people.	A moderate amount of information that informs a reasonable judgement	More than 1000	Blockade, Interrupting an event or speech	None of the above	<world leaders to take urgent action on the climate emergency>	UK	No information that informs any judgement (skip next question)	
4/30/2025 15:18:28	Asger	BBC_2021-11-15_Drax-train-protester_original.html	Drax train protester released on bail	None at all	None at all	None at all	None at all	None at all	None at all	None at all	None at all	A protestor from XR climbed a train full of wood pellets bound for Axe Drax and waved a flag with XR logo on. The plant was burning wood pellets. 	Clear information that informs a full judgement	1	Protesters physically attached to or on top of something	None of the above	<Axe Drax said it wanted "to send a clear message" about ending deforestation to world leaders at the conference (red. COP26)>	UK	Clear information that informs a full judgement	Most or all of them
4/30/2025 15:23:49	Asger	BBC_2021-11-18_Extinction-Rebellion-Summer_original.html	Extinction Rebellion: Summer protests cost Met £18m to police	None at all	None at all	None at all	A great deal	A moderate amount	None at all	None at all	None at all	The Met police had a total cost of over £18m during XR protests over the Summer, where protesters were arrested for assaulting police and doing criminal damage.	A moderate amount of information that informs a reasonable judgement	More than 1000	Blockade	None of the above	No identifiable demand.	UK	No information that informs any judgement (skip next question)	
