"id","numberOfProtesters","levelOfDisruption,BusinessDamaging","levelOfDisruption,PublicEveryday","levelOfDisruption,GovernmentOrAuthority","levelOfDisruption,PublicDamaging","levelOfDisruption,CultureOrSport","visualAppearanceCostumes","issueBundling","nature,Blockade","nature,Attached","nature,AlteratVandal","levelOfDisruption,BusinessNon-damaging","nature,Interrupting","demogr,Student","portrayal"
"BBC_2020-09-04_Extinction-Rebellion-More_original.html",6,1,4,3,4,1,1,3,TRUE,TRUE,FALSE,1,FALSE,FALSE,3
"BBC_2021-06-01_Hamble-BP-oil_summary.html",NA,2,2,1,2,1,2,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,3
"BBC_2021-06-16_Euro-2020-_original.html",1,1,2,1,2,4,1,1,FALSE,FALSE,FALSE,1,TRUE,FALSE,3
"BBC_2021-07-16_Extinction-Rebellion-protesters_original.html",NA,5,2,1,2,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,3
"BBC_2021-08-23_Extinction-Rebellion-erects_summary.html",6,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"BBC_2021-09-24_Extinction-Rebellion-Paralympian_summary.html",1,3,1,1,2,1,1,1,FALSE,TRUE,FALSE,1,FALSE,FALSE,2
"BBC_2021-09-27_Insulate-Britain-M25_summary.html",4,1,3,3,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"BBC_2021-10-28_COP26-protesters-planning_summary.html",7,1,3,5,1,5,1,1,TRUE,FALSE,FALSE,1,TRUE,FALSE,3
"BBC_2021-11-15_Drax-train-protester_original.html",1,1,1,1,1,1,4,1,FALSE,TRUE,FALSE,1,FALSE,FALSE,3
"BBC_2021-11-18_Extinction-Rebellion-Summer_original.html",7,1,3,5,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,2
"BBC_2022-04-14_What-is-Extinction_summary.html",6,1,3,5,1,1,2,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,4
"BBC_2022-04-30_Just-Stop-Oil_original.html",4,4,2,1,2,1,1,1,FALSE,TRUE,TRUE,1,FALSE,FALSE,3
"BBC_2022-05-16_Greenpeace-activists-in_summary.html",NA,3,1,1,1,1,1,2,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"BBC_2022-10-30_Do-not-intervene_summary.html",4,1,3,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,2
"BBC_2022-11-11_Just-Stop-Oil_summary.html",4,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"BBC_2023-01-16_Climate-hactivists-subvert_original.html",NA,3,1,1,1,1,1,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,4
"Daily-Mail_2020-09-08_Priti-Patel-brands_summary.html",NA,4,3,1,3,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"Daily-Mail_2021-07-16_Six-Extinction-Rebellion_summary.html",4,4,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,3
"Daily-Mail_2021-09-19_Ringleader-of-Insulate_summary.html",4,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"Daily-Mail_2022-10-04_EXCLUSIVE-I-was_summary.html",4,1,4,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"Daily-Mail_2022-10-17_Legal-fees-vicar_summary.html",4,3,4,1,1,1,2,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,4
"Daily-Mail_2023-01-22_Leftwing-activists-slam_summary.html",1,1,3,1,1,1,1,3,TRUE,TRUE,FALSE,1,FALSE,FALSE,4
"Daily-Mail_2023-04-10_Thats-the-way_summary.html",2,1,2,1,1,2,1,1,FALSE,FALSE,TRUE,2,FALSE,TRUE,1
"ITV_2021-11-03_COP26-Arrests-made_summary.html",6,1,3,2,1,3,1,1,TRUE,FALSE,TRUE,2,TRUE,FALSE,4
"Metro_2021-04-23_Extinction-Rebellion-protesters_summary.html",NA,4,1,1,1,1,1,1,TRUE,TRUE,TRUE,1,FALSE,FALSE,4
"Metro_2022-04-10_Extinction-Rebellion-block_summary.html",5,1,3,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"Metro_2022-07-05_Gary-Lineker-and_summary.html",NA,3,2,1,1,3,1,1,TRUE,FALSE,FALSE,1,TRUE,FALSE,5
"Mirror_2021-10-04_Extinction-Rebellion-founder_summary.html",4,1,3,1,1,1,1,2,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"Mirror_2022-04-03_LBC-chaos-as_summary.html",1,1,2,1,1,1,1,2,FALSE,TRUE,FALSE,3,TRUE,FALSE,4
"Sky_2021-09-13_M25-traffic-78_summary.html",4,1,3,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"Sky_2021-10-01_Insulate-Britain-activists_summary.html",4,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,3
"Sky_2022-07-05_Climate-protesters-glue_summary.html",2,1,2,1,1,3,4,1,FALSE,TRUE,TRUE,3,FALSE,TRUE,3
"Sky_2022-10-17_Dartford-Crossings-QE2_summary.html",2,1,4,1,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,FALSE,3
"Sky_2023-04-17_Just-Stop-Oil_summary.html",2,1,2,1,1,3,1,1,TRUE,FALSE,TRUE,2,TRUE,FALSE,3
"Sun_2021-09-13_ROAD-TO-HELL_summary.html",4,1,3,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,3
"Sun_2021-10-18_ROAD-RAGE-Dramatic_summary.html",2,1,2,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,1
"Sun_2022-11-07_LOVEDUP-Just-Stop_summary.html",4,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,TRUE,1
"Telegraph_2021-02-13_I-wont-rest_summary.html",NA,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,3,FALSE,FALSE,4
"Telegraph_2021-10-08_Insulate-Britain-protester_summary.html",4,1,3,1,1,2,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,2
"Telegraph_2022-10-16_Just-Stop-Oil_summary.html",6,3,3,1,1,1,1,1,TRUE,TRUE,TRUE,1,FALSE,FALSE,3
"The-Guardian_2020-09-01_Police-arrest-dozens_summary.html",6,1,3,3,1,1,1,1,TRUE,FALSE,FALSE,1,TRUE,FALSE,4
"The-Guardian_2021-04-23_Jury-acquits-Extinction_summary.html",5,3,1,1,1,1,1,1,TRUE,TRUE,TRUE,1,FALSE,FALSE,3
"The-Guardian_2021-09-27_Climate-activists-block_summary.html",4,1,3,1,1,1,2,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,2
"The-Guardian_2022-10-15_It-was-terrifying_summary.html",NA,2,3,2,1,3,2,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,4
"The-Guardian_2022-10-19_Do-we-really_summary.html",2,1,2,1,1,3,1,1,FALSE,TRUE,TRUE,1,FALSE,FALSE,5
"The-Guardian_2023-01-19_Spoof-billboard-ads_summary.html",5,3,1,1,1,1,1,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,4
"The-Guardian_2023-01-31_Greenpeace-protesters-board_summary.html",NA,3,1,1,1,1,1,1,TRUE,FALSE,FALSE,1,FALSE,FALSE,4
"The-Times_2021-08-23_Officers-mobilised-as_summary.html",7,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,FALSE,4
"The-Times_2021-09-25_Chaos-This-is_summary.html",5,1,3,1,1,1,1,1,TRUE,TRUE,FALSE,1,FALSE,TRUE,4
"The-Times_2022-04-15_Just-Stop-Oil_summary.html",1,1,2,1,1,1,1,1,FALSE,TRUE,FALSE,1,TRUE,TRUE,4
