id	title_total_words	title_total_pictures	title_general_disruption_words	title_general_disruption_pictures	title_personal_effects_words	title_personal_effects_pictures	title_protester_messaging_words	title_protester_messaging_pictures	title_positive_comments_words	title_positive_comments_pictures	title_negative_comments_words	title_negative_comments_pictures	subtitle_total_words	subtitle_total_pictures	subtitle_general_disruption_words	subtitle_general_disruption_pictures	subtitle_personal_effects_words	subtitle_personal_effects_pictures	subtitle_protester_messaging_words	subtitle_protester_messaging_pictures	subtitle_positive_comments_words	subtitle_positive_comments_pictures	subtitle_negative_comments_words	subtitle_negative_comments_pictures	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_personal_effects_words	main_content_personal_effects_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	tagging_error
BBC_2020-09-04_Extinction-Rebellion-More	10	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	2	190	1	56	0	52	1	0	0	0	0	no
BBC_2021-06-01_Hamble-BP-oil	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	3	98	1	0	0	84	0	0	0	87	0	no
BBC_2021-06-16_Euro-2020-	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	1	86	1	23	1	97	0	0	0	77	0	no
BBC_2021-07-16_Extinction-Rebellion-protesters	7	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	2	140	1	85	0	0	0	0	0	0	0	no
BBC_2021-08-23_Extinction-Rebellion-erects	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	3	152	3	33	0	156	0	5	0	8	0	no
BBC_2021-09-24_Extinction-Rebellion-Paralympian	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	3	176	1	103	0	14	0	0	0	63	0	no
BBC_2021-09-27_Insulate-Britain-M25	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	3	83	2	72	1	127	0	0	0	0	0	no
BBC_2021-10-28_COP26-protesters-planning	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	3	110	1	9	0	107	2	0	0	20	0	no
BBC_2021-11-15_Drax-train-protester	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	1	74	1	37	0	19	0	0	0	0	0	no
BBC_2021-11-18_Extinction-Rebellion-Summer	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	2	162	2	25	1	0	0	0	0	140	0	no
BBC_2022-04-14_What-is-Extinction	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	2	121	1	10	0	143	1	27	0	42	0	no
BBC_2022-04-30_Just-Stop-Oil	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	1	108	1	40	0	0	0	0	0	0	0	no
BBC_2022-05-16_Greenpeace-activists-in	8	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	3	164	3	47	1	103	1	0	0	43	0	no
BBC_2022-10-30_Do-not-intervene	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	3	113	1	51	1	22	0	0	0	34	0	no
BBC_2022-11-11_Just-Stop-Oil	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	2	118	2	16	0	120	0	0	0	54	0	no
BBC_2023-01-16_Climate-hactivists-subvert	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	3	132	3	0	0	86	0	0	0	0	0	no
Daily-Mail_2020-09-08_Priti-Patel-brands	16	0	0	0	0	0	0	0	0	0	16	0	35	0	11	0	0	0	0	0	0	0	24	0	302	2	59	1	0	0	0	0	0	0	243	1	no
Daily-Mail_2021-07-16_Six-Extinction-Rebellion	27	0	27	0	27	0	0	0	0	0	0	0	31	0	31	0	23	0	0	0	0	0	0	0	335	3	163	1	155	1	88	1	0	0	0	0	no
