Type	Name	Question	Response options
MULTIPLE_CHOICE	Level of disruption, Business damaging	How much disruption does the article describe as being caused by the protest to the following: Business operations usually perceived as environmentally damaging	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Business non-damaging	How much disruption does the article describe as being caused by the protest to the following: Business operations not usually perceived as environmentally damaging	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Individual responsible	How much disruption does the article describe as being caused by the protest to the following: One or more specific individuals perceived as responsible for environmental damage	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Government or authority	How much disruption does the article describe as being caused by the protest to the following: Government or local authority operations	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Public everyday	How much disruption does the article describe as being caused by the protest to the following: The general public going about everyday activities	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Public damaging	How much disruption does the article describe as being caused by the protest to the following: The general public going about specific activities perceived as environmentally damaging	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Caring	How much disruption does the article describe as being caused by the protest to the following: Caring-related activities (medical, care of children or elderly, funeral, etcetera)	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Level of disruption, Culture or sport	How much disruption does the article describe as being caused by the protest to the following: A cultural or sporting event or institution	None at all; A little; A moderate amount; A lot; A great deal
MULTIPLE_CHOICE	Clarity, Number of Protesters	How clear is the information in the article about the number of people taking part in the protest?	No information that informs any judgement (skip next question); A small amount of information that informs a very rough judgement; A moderate amount of information that informs a reasonable judgement; Enough information to inform a fairly confident judgement; Clear information that informs a full judgement
MULTIPLE_CHOICE	Number of protesters	What is your best estimate of how many people are taking part in the protest? (Answer unless you answered "No information" to the previous question.)	1; 2-3; 4-10: 11-30; 31-100; 101-300; 301-1000; More than 1000; Not enough information to even estimate
TEXT	Activity being deliberately disrupted	Give more details of the activity being deliberately targeted for physical disruption, or respond "No such information".	Short answer text
CHECKBOX	Nature of disruption	What types of disruption are mentioned as being part of the protest?	Temporary physical alterations (e.g., washable blood poured at an office entrance); Vandalism (costly or permanent damage); Blockade; Interrupting an event or speech; Protesters physically attached to something; Breaching a legal injunction; None of the above
CHECKBOX	Demographics	Are any of the protesters identified as belonging to any of the following demographics?	
TEXT	Demand	What is (are) the demand(s) of the protesters? If there are any quotes from the article that summarise their demands, copy them, in between the symbols < and >. If there is no suitable quote, but the demands are clear, summarise in your own words. If there is no identifiable demand, respond with "No identifiable demand".	Short answer text
MULTIPLE_CHOICE	Location	In what location(s) is the protest?	UK; non-UK; Multiple protests in UK and elsewhere
MULTIPLE_CHOICE	Issue bundling	To what extent does the protesters’ reported message go further than being just about the environment?	No other issues (skip next question); Other issues, slightly beyond environment; Other issues, considerably beyond environment
MULTIPLE_CHOICE	Portrayal	Would you say that the article portrays the protest in a hostile, neutral or sympathetic way?	Very hostile (e.g. calling protesters names like "eco-zealots"); Somewhat hostile (e.g. quoting only negative reactions); Neutral (e.g. simply reporting on the disruption, protesters, or message); Somewhat sympathetic (e.g. quoting positive reactions, supporting the message with facts); Very sympathetic (e.g. explicitly endorsing the message or praising protesters)
MULTIPLE_CHOICE	Visual appearance costumes	How many of the protesters are wearing theatrical style costumes or masks (not Covid masks)?	None of them; A small proportion of them; Roughly half of them; Most or all of them

