"id","weight","ideology","outlet","consumed"
20022530,0.894742969930345,4,"BBC News online",1
20023753,0.817899511525492,6,"BBC News online",1
20025447,0.924464590075186,5,"BBC News online",0
20026947,0.821534967006642,2,"BBC News online",0
20047619,0.820360991763164,6,"BBC News online",1
20048332,1.1759725084016,4,"BBC News online",1
20048618,0.925208410912284,4,"BBC News online",1
20050448,0.987033283522209,5,"BBC News online",0
20051529,0.761143846254295,4,"BBC News online",0
20051923,0.803926781539201,6,"BBC News online",1
20052122,1.03465290359113,4,"BBC News online",1
20052241,0.915122066222173,4,"BBC News online",1
20054024,0.897206273270836,5,"BBC News online",0
20054270,0.917818307739336,NA,"BBC News online",0
20054395,1.03853157643102,5,"BBC News online",0
20060542,0.971117221620311,NA,"BBC News online",0
20064022,1.02756830800205,6,"BBC News online",0
20065179,1.01019313817515,4,"BBC News online",1
20067149,1.36837782143029,5,"BBC News online",0
20067844,0.887468293345291,5,"BBC News online",0
20073628,0.923817194805369,3,"BBC News online",1
20074410,0.773996228257417,NA,"BBC News online",0
20077389,1.18669564292533,NA,"BBC News online",1
20078507,1.00964339403178,3,"BBC News online",1
20085274,1.09594320375307,4,"BBC News online",0
20086548,0.973494560447607,6,"BBC News online",0
20087794,0.788292694930814,6,"BBC News online",0
20087888,0.8108497346763,NA,"BBC News online",0
20088212,0.817899511525492,6,"BBC News online",0
20089287,0.760970327217994,4,"BBC News online",0
20089575,0.765847326092285,3,"BBC News online",1
20091650,1.36467995317101,6,"BBC News online",1
20091668,0.976826118736406,4,"BBC News online",1
20093294,0.890771270097029,6,"BBC News online",0
20096796,0.909315105885082,3,"BBC News online",0
20098142,0.851773826284773,2,"BBC News online",1
20099291,0.976826118736406,6,"BBC News online",1
20102045,1.18262480891063,4,"BBC News online",1
20103834,1.18127904724926,NA,"BBC News online",1
20105311,0.978841972355124,NA,"BBC News online",0
20106754,0.995000205805947,7,"BBC News online",1
20107774,0.957175087236545,4,"BBC News online",1
20108848,0.686890779810034,4,"BBC News online",0
20113956,1.05395044442534,6,"BBC News online",0
20114172,0.884671877547993,5,"BBC News online",0
20114869,1.42500367564671,2,"BBC News online",0
20115167,0.748282483561949,3,"BBC News online",1
20122155,1.27260493984081,4,"BBC News online",0
20122792,1.09295094620214,4,"BBC News online",1
20124135,0.915653346199629,6,"BBC News online",1
20125503,0.798900062604096,5,"BBC News online",0
20126726,0.739654295956792,NA,"BBC News online",0
20128496,0.928967578985955,5,"BBC News online",0
20133288,1.2934980155536,3,"BBC News online",1
20133843,1.07922092931644,4,"BBC News online",1
20133959,0.976826118736406,5,"BBC News online",0
20134062,0.953571918607351,4,"BBC News online",0
20135037,0.948052073531323,7,"BBC News online",1
20135236,1.17776303245002,NA,"BBC News online",1
20135368,0.976826118736406,5,"BBC News online",0
20135890,0.825688491871181,3,"BBC News online",1
20135896,1.02691170127348,5,"BBC News online",0
20136090,1.07868111800161,4,"BBC News online",1
20136198,0.930329183919794,4,"BBC News online",0
20137204,1.16766529817587,NA,"BBC News online",0
20137867,0.91954497216919,4,"BBC News online",1
20139579,0.823005185848736,4,"BBC News online",1
20139936,1.1771220972616,3,"BBC News online",0
20140177,1.09074035706863,NA,"BBC News online",0
20140746,1.34812249136809,6,"BBC News online",0
20142240,0.929902768554445,1,"BBC News online",1
20143499,0.749672136467166,1,"BBC News online",1
20143790,1.03541599566902,5,"BBC News online",0
20145040,1.27118104060527,NA,"BBC News online",1
20145226,0.790272204577528,NA,"BBC News online",0
20145321,0.905840002742017,3,"BBC News online",0
20145418,1.02827233406731,4,"BBC News online",0
20148829,0.953571918607351,NA,"BBC News online",0
20149402,0.876750016606568,NA,"BBC News online",0
20149838,0.969858785669946,NA,"BBC News online",0
20150337,1.02827197727516,3,"BBC News online",1
20151311,0.723829626325887,5,"BBC News online",0
20151909,0.91840516021723,5,"BBC News online",0
20152155,0.798661733986574,4,"BBC News online",1
20152444,0.952251715896481,4,"BBC News online",1
20153171,0.976826118736406,2,"BBC News online",1
20155692,0.914772568516223,NA,"BBC News online",0
20156694,1.33176607273167,4,"BBC News online",1
20157553,0.809471843979465,6,"BBC News online",1
20157664,1.1761964194612,6,"BBC News online",0
20160898,1.34323433307381,2,"BBC News online",1
20161127,0.720343693026911,3,"BBC News online",0
20161313,0.927449832702319,5,"BBC News online",0
