"","n","nWeighted","Very left-wing","Fairly left-wing","Slightly left-of-centre","Centre","Slightly right-of-centre","Fairly right-wing","Very right-wing","Don't know"
"CNN",56,56.1606571040876,0.0428457700460984,0.126629176505789,0.102110349559139,0.317623932570633,0.0991679072394797,0.0844485704813884,0.0828379691526122,0.144336324444859
"Al-Jazeera",85,83.4501843472277,0.0933200149783979,0.171190057865697,0.128715449271312,0.23291371899051,0.158565858909922,0.0368721511270524,0.0523667509961504,0.126055997860958
"ITV News",488,474.311783403706,0.0367847544937532,0.101317727917125,0.148595059173878,0.209985909937265,0.187452231885821,0.133701238095437,0.0227598033388928,0.159403275157827
"Sky News (24-hour news)",325,324.81437976569,0.0259916155667743,0.135087048987392,0.148555724066008,0.209103484284414,0.192504053193861,0.127394585652307,0.0319029471927549,0.129460541056488
"Channel 4 News",201,191.477194086832,0.0767778994046805,0.229009740977474,0.228289531237059,0.151919748715722,0.121306255758724,0.0886365817886372,0.0193914855248291,0.0846687565928745
"Channel 5 News",70,69.5819015412471,0.0392599628617723,0.170678570413206,0.114072082614312,0.165125487158534,0.205469530999772,0.120562472172445,0.0135304589396013,0.171301434840358
"Commercial radio news",159,157.385600399117,0.0282436466650139,0.127834830534234,0.240417424306335,0.186837732603349,0.167793561041006,0.1108047329237,0.0371399443037007,0.100928127622661
"Daily Mail/Mail on Sunday",181,178.836931736586,0.00906358282021722,0.0367368538493701,0.0653533055369619,0.229591866517261,0.291902466367553,0.177153382442638,0.0688178445545851,0.121380697911414
"Sun/Sun on Sunday",95,99.6613602836071,0.0273723154650969,0.0437630593267284,0.0634757301933804,0.283891501481757,0.241463874685182,0.12816827978058,0.0460858887092727,0.165779350358003
"Daily Mirror/Sunday Mirror",53,50.6604573778135,0.0342077861362258,0.12654672681073,0.160990401964466,0.292905265412265,0.10698166015453,0.0748647226128399,0.0857258149676301,0.117777621941313
"The Times/Sunday Times",96,96.7161640952563,0.042633322575712,0.11120419557637,0.194476530676327,0.187550695753872,0.203629411277863,0.119040771269889,0.0722235120102458,0.0692415608597206
