"","n","nWeighted","Very left-wing","Fairly left-wing","Slightly left-of-centre","Centre","Slightly right-of-centre","Fairly right-wing","Very right-wing","Don't know"
"BBC News online",885,885.169674407675,0.0466509171263781,0.16961435106659,0.213371135499845,0.176644703017946,0.163288952740909,0.0860674277961057,0.0149952972811147,0.129367215471111
"CNN.com",50,51.1670867143693,0.0315820131170148,0.151774736294664,0.215409149861502,0.296930148058263,0.100720327408294,0.0371682999605227,0.0899183531364053,0.0764969721633334
"New York Times",37,37.7043527916923,0.0609714247990793,0.205003777108107,0.300413367483544,0.23057431259971,0.0957411446969947,0.0492577588051329,0.0249699303140052,0.0330682841934271
"Vice News",35,34.6012472917965,0.316869497559606,0.134889797115542,0.186578578425751,0.0824847913112832,0.0496132990869055,0.0577245959144717,0.0986952000311973,0.0731442405552441
"Guardian online",327,322.799453612979,0.101642321228599,0.309342808015866,0.241436044177834,0.125157275731742,0.117477902652205,0.0475226568327368,0.0217768220275752,0.0356441693334415
"HuffPost",64,61.4887699620993,0.0421459066699408,0.235364029827369,0.230722649831863,0.229795011906358,0.149871306063178,0.0483857374932075,0.0491840891242774,0.0145312690838073
"MailOnline",270,267.437498277647,0.02784996111965,0.0823275335835327,0.121302342595817,0.169470314969143,0.270328596009951,0.180819981214014,0.0230814856892468,0.124819784818646
"MSN News",98,99.5364634310455,0.0350316831373695,0.137545471624265,0.192867936238016,0.211536759234779,0.252500484451073,0.0829702899692862,0.00945859466260259,0.0780887806826095
"Yahoo! News",81,81.5935361724414,0.0357208147867389,0.107683786671766,0.18436722050155,0.214535051275201,0.163934257015238,0.0467247431140104,0.0528495699334585,0.194184556702038
"ITV News online",93,89.7300165127564,0.0546619532178919,0.171167713471418,0.166413610258845,0.191923922067967,0.165288048290294,0.0963930839357549,0.0418083341912262,0.112343334566603
"Sky News online",268,274.237667943807,0.0334479061844072,0.157800929923375,0.187309373447294,0.178661250138163,0.216163682587703,0.0912243770402821,0.0265891515507043,0.108803329128071
"Channel 4 News online (C4 News online)",56,56.8248691704953,0.138146804270513,0.284747642522215,0.198594147803208,0.139048956580555,0.0903919351056969,0.0689293225692386,0.0610006090999976,0.0191405820485758
"Sun online",94,94.0886218053147,0.00808280897419501,0.0938856143043011,0.115409652912015,0.195427213429999,0.197442732479244,0.124479918279949,0.0307165639530506,0.234555495667246
"Mirror online",96,92.4546512738125,0.0475552082027269,0.221361514010959,0.137227697739863,0.188979756303807,0.154412235241693,0.093245440605024,0.0266703682701957,0.130547779625732
"The Times online",74,72.9235321872997,0.0249348909067753,0.178705950896016,0.18089055601317,0.180919502878204,0.196715440695019,0.172232255296883,0.0129104423977311,0.0526909609162008
"Telegraph online",118,116.690217056203,0.00803660217714908,0.0897350060865354,0.153223546603904,0.168809336167131,0.227396247414244,0.211054115319559,0.0621003269703987,0.0796448192610792
"Express online",49,48.2206401271231,0,0.0356244424585251,0.125871092883686,0.213702869907917,0.355236821599767,0.132802033119123,0.0381305874448531,0.0986321525861293
"Independent/i100 online",75,73.7057627434519,0.116130988734678,0.248511294429527,0.284963285345065,0.132276489097513,0.130055299820851,0.0480966000863476,0,0.0399660424860177
"Financial Times online",54,56.0835544441882,0.0677252629251332,0.139469433948017,0.299339580984422,0.17383420530853,0.178767639790744,0.0182573080681697,0.0327160449288267,0.0898905240461575
"Metro online",78,75.5443397776186,0.0859740310378308,0.24645822006079,0.177705505965807,0.153533045655026,0.190209495621584,0.025029715388267,0.0482488866253035,0.0728410996453928
"Economist online",43,43.5573613468584,0.0991156977460526,0.281101403712909,0.148791600252606,0.104987361278395,0.222371423568929,0.0458554640661152,0.0216146027360569,0.0761624466389356
"Scotsman online",6,6.24275338769521,0,0.188670547857829,0.183033469963775,0.334429780029726,0.153530769383923,0.140335432764748,0,0
"The Herald online",2,1.94816638866501,0,0,1,0,0,0,0,0
"Daily Record online",13,12.7465401598858,0,0,0.31650209649576,0,0.159912550225088,0.073072445319315,0,0.450512907959836
"Wales online",35,33.3318229779183,0.028088533985993,0.217389386786419,0.209326405317711,0.145409006179647,0.19329837195622,0.0502400835949989,0,0.156248212179012
"The Irish News online",1,0.947861602426335,0,0,0,0,1,0,0,0
"Missing variable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belfast Telegraph online",3,2.78371403783373,0,0,0.649856586669952,0,0,0.350143413330047,0,0
"London Evening Standard online",15,13.9857700410205,0.0790105804055927,0.215163731626771,0.130430278057804,0.302738959021194,0.194887327875224,0,0,0.0777691230134147
"The Lad Bible news",60,63.202065740935,0.100229656282168,0.197734132477006,0.187388987454306,0.232566012595472,0.0744351400771691,0.0450189723682676,0,0.162627098745612
"Al Jazeera online",66,66.1383452267803,0.171902496328719,0.198774671003422,0.237291838810828,0.153191327247099,0.0368845113398383,0.0171593944697596,0.0660738488286919,0.118721911971643
"inews.co.uk",36,35.4962960913675,0.0553452387724801,0.284622570612931,0.28525795143656,0.240874787982521,0.0806695386916109,0,0.026523191583704,0.0267067209201934
"The Canary",15,14.2515225840743,0.191671176777138,0.38712117892151,0,0.242393668334781,0.17881397596657,0,0,0
"Commercial radio news online (e.g LBC, TalkRadio)",76,77.2086651821244,0.0528219160032489,0.0858974325364582,0.162514538044755,0.233808323850824,0.236296971413109,0.102289989676627,0.0397897168614983,0.0865811116134805
"Daily Star online",31,31.3705468187342,0.0621401313293996,0.0692830421077633,0.185164331345002,0.27490953942788,0.0855302511222402,0.073854897619178,0.0786023785945787,0.170515428453959
"GB News online",89,86.9775779010023,0.0422510805959457,0.0213183730053646,0.135061324380675,0.128287707999907,0.334194066140395,0.240822684370728,0.0765092586882368,0.021555504818748
"JOE.co.uk",57,58.395720785804,0.228167122075121,0.234985294837668,0.222515496923698,0.179253085701638,0.010581947340041,0.0342288075593873,0.0161223296685824,0.0741459158938639
"Other regional or local newspaper website",159,153.311639067893,0.0702227312939418,0.176862018057821,0.209608641453464,0.153800031743681,0.179207645443307,0.0528670437277029,0.0182190376746532,0.13921285060543
"Other online sites from outside $country_text",61,59.2110773913821,0.0384438100629749,0.196443298418413,0.216671366288848,0.173104362454269,0.205475133590215,0.0752781804004826,0.0311620483176347,0.0634218004671624
"Other1",64,63.9778113627887,0.0826663028718067,0.164500266811064,0.0891254475244946,0.18916028011498,0.221119237430014,0.104822807135495,0,0.148605658112146
"Other2",5,5.10379680924225,0.461637579863047,0.172401915125385,0,0.169888320004781,0.196072185006787,0,0,0
"Don't know",36,33.6682787874196,0.078000961879803,0.0663592551296598,0.168601047112285,0.0484843115203092,0.0707206344011648,0.0279941784030555,0,0.539839611553723
"None of these",548,549.419992910426,0.0327472951408265,0.0796326961976037,0.0677486495985334,0.228142068459496,0.108367963808698,0.0699779213169558,0.0162832563150786,0.397100149162808
